faculty_id,college_id,name,gender,designation,qualification,experience_years,department,salary,publications,patents,research_projects,joining_year,employment_type
FAC00021,COL0005,Alka Bhoir,Female,Assistant Professor,MTech,7,Marathi,460000,0,0,1,2019,Permanent
FAC00022,COL0006,Dr. Vivek Bhoir,Male,Assistant Professor,PhD,7,Economics,517000,2,0,2,2019,Permanent
FAC00023,COL0006,Sushma Kadam,Female,Assistant Professor,MTech,5,Accountancy,435000,1,0,0,2021,Permanent
FAC00024,COL0007,Sudhir Apte,Male,Assistant Professor,BE,1,Banking & Finance,668000,0,0,0,2025,Permanent
FAC00025,COL0007,Dr. Rajesh Deshmukh,Male,Assistant Professor,PhD,3,Banking & Finance,782000,2,1,1,2023,Permanent
FAC00026,COL0007,Dr. Vandana Bhagat,Female,Assistant Professor,PhD,2,Business Administration,820000,1,2,0,2024,Permanent
FAC00027,COL0007,Nasreen Pandey,Female,Assistant Professor,BE,8,Economics,731000,0,0,0,2018,Visiting
FAC00028,COL0007,Shabana Joshi,Female,Assistant Professor,ME,10,Accountancy,796000,1,0,2,2016,Permanent
FAC00029,COL0007,Nitin More,Male,Assistant Professor,BE,8,Business Administration,748000,0,0,0,2018,Permanent
FAC00030,COL0007,Jyoti Bhoir,Female,Assistant Professor,ME,2,Accountancy,756000,0,1,0,2024,Permanent
FAC00031,COL0008,Dr. Vandana Pandey,Female,Associate Professor,PhD,10,Electrical Engineering,833000,1,5,1,2016,Permanent
FAC00032,COL0008,Dr. Kavita Bhoir,Female,Associate Professor,PhD,9,Information Technology,768000,2,2,1,2017,Permanent
FAC00033,COL0009,Dr. Kishor Mane,Male,Assistant Professor,PhD,10,Electronics & Telecommunication,878000,5,1,0,2016,Permanent
FAC00034,COL0009,Ashok Chougule,Male,Professor,ME,16,Computer Engineering,1742000,5,1,2,2010,Permanent
FAC00035,COL0009,Ashok Marathe,Male,Associate Professor,ME,13,Electronics & Telecommunication,1214000,3,2,3,2013,Contractual
FAC00036,COL0009,Ganesh Sharma,Male,Associate Professor,MTech,17,Computer Engineering,1219000,5,0,2,2009,Permanent
FAC00037,COL0009,Dr. Balasaheb Wagh,Male,Assistant Professor,PhD,1,Electrical Engineering,758000,1,2,2,2025,Contractual
FAC00038,COL0009,Indira Shinde,Female,Associate Professor,MTech,9,Mechanical Engineering,1155000,4,1,2,2017,Permanent
FAC00039,COL0009,Dr. Sunil Pandey,Male,Professor,PhD,27,Civil Engineering,2011000,29,1,6,1999,Permanent
FAC00040,COL0009,Dr. Ayesha Khan Tiwari,Female,Assistant Professor,PhD,10,Electronics & Telecommunication,855000,2,3,4,2016,Contractual
FAC00041,COL0009,Pushpa Reddy,Female,Associate Professor,MTech,15,Mechanical Engineering,1206000,6,0,2,2011,Permanent
FAC00042,COL0010,Alka Ansari,Female,Assistant Professor,ME,10,Educational Administration,734000,2,1,2,2016,Permanent
FAC00043,COL0010,Vinod Gupta,Male,Assistant Professor,BE,1,Curriculum & Pedagogy,604000,0,0,1,2025,Permanent
FAC00044,COL0011,Nirmala Ansari,Female,Assistant Professor,MTech,5,Economics,411000,1,0,1,2021,Permanent
FAC00045,COL0011,Sudhir Yadav,Male,Assistant Professor,ME,6,Commerce,478000,0,0,0,2020,Permanent
FAC00046,COL0011,Dr. Pratibha Mahajan,Female,Associate Professor,PhD,12,English,867000,4,0,4,2014,Contractual
FAC00047,COL0011,Vishwas Reddy,Male,Associate Professor,ME,12,English,773000,0,0,1,2014,Contractual
FAC00048,COL0011,Dr. Indira Kale,Female,Assistant Professor,PhD,4,Marathi,504000,2,0,1,2022,Contractual
FAC00049,COL0011,Vasanti Pathan,Female,Assistant Professor,MTech,9,English,498000,1,1,1,2017,Contractual
FAC00050,COL0011,Shaikh Farooq Bhoir,Male,Associate Professor,ME,20,Computer Science,850000,1,0,2,2006,Contractual
FAC00051,COL0011,Dr. Vinod Marathe,Male,Professor,PhD,27,Commerce,1405000,14,0,6,1999,Permanent
FAC00052,COL0011,Ashok Sant,Male,Assistant Professor,MTech,8,Computer Science,456000,1,1,0,2018,Permanent
FAC00053,COL0011,Shabana Kale,Female,Assistant Professor,MTech,1,Economics,428000,0,0,0,2025,Permanent
FAC00054,COL0011,Dr. Nanda Bhoir,Female,Associate Professor,PhD,17,English,847000,3,0,3,2009,Visiting
FAC00055,COL0012,Meena Deshmukh,Female,Assistant Professor,ME,7,Banking & Finance,445000,1,0,0,2019,Permanent
FAC00056,COL0012,Vaishali Thorat,Female,HOD,MTech,21,Accountancy,1413000,12,2,0,2005,Permanent
FAC00057,COL0013,Dr. Rajesh Singh,Male,Professor,PhD,23,Information Technology,1343000,5,2,2,2003,Permanent
FAC00058,COL0013,Dr. Jyoti Shaikh,Female,Professor,PhD,23,Electrical Engineering,1364000,3,3,4,2003,Permanent
FAC00059,COL0013,Indira Wagh,Female,Assistant Professor,ME,4,Computer Engineering,421000,1,0,0,2022,Permanent
FAC00060,COL0013,Vasanti Singh,Female,Associate Professor,ME,9,Information Technology,727000,2,0,0,2017,Contractual
FAC00061,COL0013,Ayesha Khan Thorat,Female,Assistant Professor,ME,10,Computer Engineering,501000,1,2,0,2016,Contractual
FAC00062,COL0013,Sarika Chougule,Female,Assistant Professor,ME,6,Computer Engineering,449000,0,1,0,2020,Permanent
FAC00063,COL0013,Dilip Patil,Male,Assistant Professor,MTech,4,Electronics & Telecommunication,453000,0,0,0,2022,Permanent
FAC00064,COL0013,Pushpa Rao,Female,Assistant Professor,ME,1,Electrical Engineering,451000,1,1,0,2025,Contractual
FAC00065,COL0013,Archana Gaikwad,Female,Associate Professor,ME,10,Electronics & Telecommunication,774000,3,0,1,2016,Permanent
FAC00066,COL0013,Deepak Mishra,Male,Assistant Professor,ME,10,Electrical Engineering,454000,2,1,1,2016,Permanent
FAC00067,COL0013,Vijay Sayyed,Male,Assistant Professor,MTech,10,Mechanical Engineering,453000,0,2,0,2016,Permanent
FAC00068,COL0014,Manoj Chougule,Male,Assistant Professor,ME,1,Civil Engineering,427000,0,0,1,2025,Contractual
FAC00069,COL0014,Santosh Yadav,Male,Assistant Professor,BE,10,Computer Engineering,415000,0,0,0,2016,Permanent
FAC00070,COL0014,Kishor Khan,Male,Associate Professor,MTech,9,Civil Engineering,758000,2,1,1,2017,Contractual
FAC00071,COL0015,Sachin Tiwari,Male,Assistant Professor,ME,6,Economics,787000,1,0,2,2020,Visiting
FAC00072,COL0015,Dr. Digambar Sharma,Male,Professor,PhD,19,Physics,1939000,17,3,5,2007,Permanent
FAC00073,COL0015,Ganesh Bhagat,Male,Associate Professor,MTech,14,Chemistry,1204000,1,2,2,2012,Permanent
FAC00074,COL0015,Ravindra Chougule,Male,Assistant Professor,MTech,5,Economics,791000,1,0,0,2021,Contractual
FAC00075,COL0015,Sunita Dixit,Female,Assistant Professor,ME,10,Mathematics,785000,1,0,1,2016,Permanent
FAC00076,COL0015,Nitin Tiwari,Male,Assistant Professor,BE,3,Mathematics,661000,0,1,0,2023,Permanent
FAC00077,COL0015,Prof. Sushila Khan,Female,Assistant Professor,BE,7,English,676000,0,0,2,2019,Permanent
FAC00078,COL0015,Milind Yadav,Male,Assistant Professor,MTech,3,English,774000,1,0,1,2023,Permanent
FAC00079,COL0015,Vishwas Khan,Male,Assistant Professor,MTech,7,Mathematics,738000,1,1,2,2019,Permanent
FAC00080,COL0015,Dr. Pratibha Gaikwad,Female,HOD,PhD,37,Physics,2255000,10,0,4,1989,Permanent
FAC00081,COL0015,Smita Singh,Female,Assistant Professor,ME,7,Economics,755000,1,0,1,2019,Contractual
FAC00082,COL0015,Dr. Narendra Singh,Male,Professor,PhD,30,English,2087000,21,1,5,1996,Permanent
FAC00083,COL0015,Shaikh Farooq Kulkarni,Male,Assistant Professor,ME,1,Chemistry,743000,1,0,0,2025,Permanent
FAC00084,COL0016,Chandrakant Thorat,Male,Assistant Professor,ME,7,Business Analytics,493000,1,0,1,2019,Contractual
FAC00085,COL0016,Namdeo Verma,Male,Assistant Professor,ME,7,Marketing,494000,0,0,0,2019,Visiting
FAC00086,COL0017,Sarita Kulkarni,Female,Associate Professor,MTech,9,Economics,1160000,1,1,1,2017,Permanent
FAC00087,COL0017,Dr. Sanjay Kelkar,Male,Professor,PhD,28,Physics,1917000,22,1,7,1998,Permanent
FAC00088,COL0017,Dr. Vaishali Bhoir,Female,Assistant Professor,PhD,9,English,758000,4,1,3,2017,Visiting
FAC00089,COL0017,Dr. Ashok Chougule,Male,Assistant Professor,PhD,10,English,775000,2,1,2,2016,Permanent
FAC00090,COL0018,Varsha Mishra,Female,Assistant Professor,ME,10,Mathematics,463000,1,0,0,2016,Contractual
FAC00091,COL0018,Manoj Dixit,Male,Assistant Professor,BE,6,English,413000,0,0,0,2020,Permanent
FAC00092,COL0019,Mahesh Dixit,Male,Assistant Professor,BE,4,Marathi,729000,0,0,0,2022,Permanent
FAC00093,COL0019,Pravin Bhosale,Male,Professor,ME,22,Computer Science,1831000,6,0,0,2004,Permanent
FAC00094,COL0019,Shivaji Wagh,Male,Assistant Professor,BE,7,Commerce,694000,0,0,0,2019,Permanent
FAC00095,COL0019,Vijay Pathan,Male,Professor,ME,34,Marathi,1939000,6,1,4,1992,Permanent
FAC00096,COL0019,Dr. Vishwas Sharma,Male,Assistant Professor,PhD,7,Chemistry,853000,2,2,1,2019,Permanent
FAC00097,COL0019,Anita Salunkhe,Female,Assistant Professor,ME,10,English,751000,1,0,2,2016,Permanent
FAC00098,COL0019,Dr. Yogesh Kulkarni,Male,Associate Professor,PhD,12,Computer Science,1274000,11,1,1,2014,Permanent
FAC00099,COL0019,Rajendra Thorat,Male,Assistant Professor,MTech,8,English,792000,2,0,1,2018,Contractual
FAC00100,COL0019,Vijay Shinde,Male,Assistant Professor,MTech,3,English,706000,0,0,0,2023,Visiting
FAC00101,COL0019,Imran Ali Marathe,Male,Assistant Professor,MTech,4,Marathi,723000,1,0,0,2022,Contractual
FAC00102,COL0019,Nitin Bhosale,Male,Assistant Professor,MTech,5,Economics,768000,1,0,2,2021,Contractual
FAC00103,COL0019,Sudhir Mahajan,Male,Assistant Professor,BE,9,English,751000,0,0,0,2017,Permanent
FAC00104,COL0020,Dr. Pratibha Bhosale,Female,Professor,PhD,26,Economics,2000000,30,2,6,2000,Permanent
FAC00105,COL0020,Sunita Kelkar,Female,Assistant Professor,MTech,8,Marathi,772000,2,0,0,2018,Contractual
FAC00106,COL0020,Manoj Khan,Male,Assistant Professor,ME,6,English,720000,0,1,0,2020,Contractual
FAC00107,COL0020,Umesh Joshi,Male,Assistant Professor,MTech,2,Mathematics,765000,1,0,0,2024,Permanent
FAC00108,COL0020,Kailash Wagh,Male,Assistant Professor,MTech,7,Mathematics,766000,1,0,2,2019,Permanent
FAC00109,COL0020,Dr. Deepak Salunkhe,Male,Professor,PhD,20,Commerce,1913000,7,1,3,2006,Contractual
FAC00110,COL0020,Sharad Pawar,Male,Associate Professor,MTech,9,Physics,1189000,1,0,1,2017,Permanent
FAC00111,COL0020,Balasaheb Pathan,Male,Associate Professor,MTech,13,Commerce,1193000,3,0,2,2013,Permanent
FAC00112,COL0020,Chandrakala Wagh,Female,Assistant Professor,ME,7,Economics,780000,1,1,2,2019,Permanent
FAC00113,COL0020,Imran Ali Patil,Male,Assistant Professor,ME,4,Mathematics,721000,0,0,0,2022,Permanent
FAC00114,COL0021,Pravin Chougule,Male,Assistant Professor,MTech,6,Mechanical Engineering,734000,1,0,0,2020,Visiting
FAC00115,COL0021,Dr. Ganesh Dixit,Male,Associate Professor,PhD,10,Electrical Engineering,1209000,8,3,3,2016,Permanent
FAC00116,COL0022,Dr. Ujjwala Naik,Female,Assistant Professor,PhD,7,English,474000,2,0,2,2019,Contractual
FAC00117,COL0022,Sarika Pawar,Female,Associate Professor,MTech,16,Commerce,769000,1,0,2,2010,Visiting
FAC00118,COL0022,Dr. Kailash Mahajan,Male,Assistant Professor,PhD,6,Physics,492000,3,1,3,2020,Contractual
FAC00119,COL0022,Dr. Ravindra Marathe,Male,Associate Professor,PhD,12,Computer Science,871000,3,3,2,2014,Contractual
FAC00120,COL0022,Jyoti Wagh,Female,Associate Professor,MTech,15,Commerce,752000,1,0,1,2011,Visiting
FAC00121,COL0022,Dr. Ujjwala Verma,Female,Professor,PhD,34,Marathi,1507000,35,3,8,1992,Permanent
FAC00122,COL0022,Nirmala Dixit,Female,Assistant Professor,ME,3,Computer Science,407000,1,1,1,2023,Permanent
FAC00123,COL0022,Sarita Chavan,Female,Assistant Professor,ME,3,Mathematics,407000,0,1,0,2023,Permanent
FAC00124,COL0022,Suresh Sant,Male,Assistant Professor,ME,8,English,479000,1,1,2,2018,Contractual
FAC00125,COL0022,Dr. Indira Nikam,Female,Associate Professor,PhD,15,Marathi,809000,2,0,2,2011,Permanent
FAC00126,COL0023,Ayesha Khan Chougule,Female,Assistant Professor,ME,3,Pharmaceutics,429000,0,1,0,2023,Contractual
FAC00127,COL0023,Dr. Vivek Ansari,Male,Professor,PhD,35,Pharmaceutics,1486000,6,2,6,1991,Permanent
FAC00128,COL0024,Girish Mishra,Male,Assistant Professor,ME,10,Mathematics,766000,0,1,0,2016,Permanent
FAC00129,COL0024,Dr. Girish Chougule,Male,Assistant Professor,PhD,10,English,791000,4,0,2,2016,Visiting
FAC00130,COL0025,Manisha Rane,Female,Assistant Professor,ME,5,Commerce,460000,0,0,2,2021,Visiting
FAC00131,COL0025,Dr. Sarita Rane,Female,Assistant Professor,PhD,8,Computer Science,471000,1,0,2,2018,Contractual
FAC00132,COL0025,Dr. Shobha More,Female,Assistant Professor,PhD,6,Mathematics,501000,1,2,3,2020,Contractual
FAC00133,COL0025,Rajendra Gaikwad,Male,Assistant Professor,MTech,10,English,484000,1,0,1,2016,Permanent
FAC00134,COL0025,Sunil Shinde,Male,Assistant Professor,MTech,3,Chemistry,422000,0,1,0,2023,Contractual
FAC00135,COL0025,Dr. Ujjwala Bhoir,Female,Associate Professor,PhD,17,Economics,832000,5,1,0,2009,Permanent
FAC00136,COL0025,Dr. Umesh Naik,Male,Professor,PhD,25,Computer Science,1379000,5,4,6,2001,Permanent
FAC00137,COL0026,Dr. Nasreen Kelkar,Female,Assistant Professor,PhD,6,Marathi,494000,3,1,2,2020,Contractual
FAC00138,COL0026,Madhav Salunkhe,Male,Assistant Professor,ME,9,English,436000,0,0,2,2017,Contractual
FAC00139,COL0026,Dr. Narendra Sharma,Male,Associate Professor,PhD,17,Commerce,888000,6,1,3,2009,Visiting
FAC00140,COL0026,Rekha Wagh,Female,Assistant Professor,ME,7,Marathi,428000,1,0,4,2019,Permanent
FAC00141,COL0026,Digambar Apte,Male,Assistant Professor,ME,5,English,448000,0,1,2,2021,Permanent
FAC00142,COL0026,Dr. Sarika Shinde,Female,Associate Professor,PhD,13,Physics,820000,6,0,2,2013,Visiting
FAC00143,COL0026,Dr. Ganesh Dixit,Male,HOD,PhD,32,Physics,1647000,11,1,5,1994,Permanent
FAC00144,COL0026,Pratibha Mane,Female,Assistant Professor,MTech,4,Economics,435000,1,1,0,2022,Contractual
FAC00145,COL0026,Dr. Kavita Rao,Female,Associate Professor,PhD,16,Chemistry,843000,5,3,3,2010,Visiting
FAC00146,COL0027,Yogesh Marathe,Male,Associate Professor,MTech,20,Sociology,814000,3,1,1,2006,Permanent
FAC00147,COL0027,Anita Mishra,Female,Assistant Professor,ME,4,Sociology,443000,0,0,0,2022,Visiting
FAC00148,COL0028,Dr. Santosh Chavan,Male,Professor,PhD,20,Biochemistry,1935000,15,1,4,2006,Permanent
FAC00149,COL0028,Hemant Joshi,Male,Assistant Professor,MTech,5,Pharmacology,736000,1,1,2,2021,Permanent
FAC00150,COL0028,Hemant Sawant,Male,Assistant Professor,MTech,4,Anatomy,765000,0,0,0,2022,Permanent
FAC00151,COL0028,Dr. Anil Bhoir,Male,Professor,PhD,35,Physiology,2090000,19,2,8,1991,Permanent
FAC00152,COL0029,Santosh Nikam,Male,Assistant Professor,BE,10,Sociology,738000,0,0,0,2016,Permanent
FAC00153,COL0029,Vivek Bhagat,Male,Assistant Professor,MTech,4,English,746000,0,0,0,2022,Contractual
FAC00154,COL0029,Dr. Shivaji Thorat,Male,Assistant Professor,PhD,8,Economics,825000,3,0,0,2018,Contractual
FAC00155,COL0029,Kishor Mahajan,Male,Assistant Professor,ME,9,Marathi,801000,1,0,0,2017,Permanent
FAC00156,COL0030,Rajesh Pandey,Male,Assistant Professor,ME,6,Electronics & Telecommunication,425000,1,1,0,2020,Contractual
FAC00157,COL0030,Vijay Mane,Male,Associate Professor,MTech,14,Electronics & Telecommunication,766000,1,1,4,2012,Contractual
FAC00158,COL0030,Sharad Singh,Male,Assistant Professor,BE,6,Civil Engineering,409000,0,0,0,2020,Permanent
FAC00159,COL0031,Sarita Verma,Female,Assistant Professor,ME,7,Urban Planning,484000,1,0,1,2019,Permanent
FAC00160,COL0031,Kalpana Joshi,Female,Assistant Professor,ME,5,Architectural Design,445000,0,0,0,2021,Visiting
FAC00161,COL0032,Madhav Reddy,Male,Assistant Professor,BE,8,Computer Science,435000,0,0,1,2018,Contractual
FAC00162,COL0032,Sarika Kelkar,Female,Assistant Professor,ME,4,English,406000,0,2,0,2022,Contractual
FAC00163,COL0032,Vasant Gokhale,Male,Assistant Professor,MTech,9,Economics,456000,1,1,0,2017,Contractual
FAC00164,COL0032,Anita Mahajan,Female,Professor,ME,11,Economics,1162000,3,1,1,2015,Permanent
FAC00165,COL0032,Deepak Thorat,Male,Assistant Professor,MTech,5,Chemistry,482000,1,0,0,2021,Permanent
FAC00166,COL0032,Dr. Mahesh Reddy,Male,Assistant Professor,PhD,6,Commerce,458000,1,0,1,2020,Permanent
FAC00167,COL0032,Dr. Sarita Shinde,Female,Professor,PhD,11,Economics,1271000,9,1,5,2015,Permanent
FAC00168,COL0032,Dr. Narendra Mahajan,Male,Assistant Professor,PhD,5,English,513000,1,1,1,2021,Permanent
FAC00169,COL0032,Dr. Digambar Bhosale,Male,HOD,PhD,11,English,1378000,2,1,2,2015,Permanent
FAC00170,COL0032,Sachin Ansari,Male,Assistant Professor,ME,9,Chemistry,507000,1,0,1,2017,Permanent
FAC00171,COL0033,Meena Naik,Female,Associate Professor,MTech,17,Mechanical Engineering,1115000,1,2,3,2009,Permanent
FAC00172,COL0033,Alka Deshmukh,Female,Assistant Professor,BE,9,Civil Engineering,649000,0,0,0,2017,Permanent
FAC00173,COL0033,Shaikh Farooq Yadav,Male,Assistant Professor,BE,4,Electronics & Telecommunication,634000,0,1,1,2022,Permanent
FAC00174,COL0033,Dr. Deepak Ansari,Male,HOD,PhD,29,Computer Engineering,1907000,27,4,8,1997,Permanent
FAC00175,COL0033,Manoj Mane,Male,Assistant Professor,MTech,3,Mechanical Engineering,616000,2,1,1,2023,Permanent
FAC00176,COL0033,Vinod Deshmukh,Male,Assistant Professor,ME,2,Mechanical Engineering,654000,0,0,0,2024,Permanent
FAC00177,COL0033,Mahesh Khan,Male,Assistant Professor,ME,1,Electronics & Telecommunication,629000,0,1,0,2025,Visiting
FAC00178,COL0033,Smita Pathan,Female,Associate Professor,MTech,10,Information Technology,1052000,4,1,5,2016,Permanent
FAC00179,COL0033,Abdul Rahman Naik,Male,Assistant Professor,ME,9,Mechanical Engineering,642000,1,0,1,2017,Visiting
FAC00180,COL0033,Dr. Mohammed Iqbal Nikam,Male,Professor,PhD,25,Electronics & Telecommunication,1764000,20,6,8,2001,Permanent
FAC00181,COL0033,Dr. Santosh Salunkhe,Male,HOD,PhD,28,Information Technology,1946000,48,4,7,1998,Permanent
FAC00182,COL0034,Sunil Pandey,Male,Associate Professor,ME,9,Electronics & Telecommunication,726000,1,1,1,2017,Visiting
FAC00183,COL0034,Abdul Rahman Pawar,Male,Associate Professor,MTech,15,Information Technology,752000,3,1,4,2011,Visiting
FAC00184,COL0034,Sachin Shaikh,Male,Associate Professor,ME,15,Computer Engineering,799000,1,1,1,2011,Permanent
FAC00185,COL0034,Pramod Dixit,Male,Assistant Professor,MTech,5,Electrical Engineering,431000,1,1,1,2021,Permanent
FAC00186,COL0034,Mahesh Marathe,Male,Assistant Professor,MTech,3,Electronics & Telecommunication,410000,0,2,1,2023,Visiting
FAC00187,COL0034,Dr. Suresh Mishra,Male,Associate Professor,PhD,9,Electronics & Telecommunication,830000,4,4,4,2017,Permanent
FAC00188,COL0034,Vasant Mahajan,Male,Assistant Professor,MTech,3,Computer Engineering,474000,1,2,0,2023,Permanent
FAC00189,COL0034,Ramesh Chougule,Male,Assistant Professor,ME,5,Electronics & Telecommunication,484000,0,0,0,2021,Permanent
FAC00190,COL0034,Dr. Smita Kulkarni,Female,HOD,PhD,40,Electronics & Telecommunication,1727000,53,4,7,1986,Permanent
FAC00191,COL0035,Smita Gokhale,Female,Professor,MTech,15,Mechanical Engineering,1739000,7,2,3,2011,Permanent
FAC00192,COL0035,Shobha Nikam,Female,Associate Professor,MTech,15,Electrical Engineering,1213000,2,0,1,2011,Permanent
FAC00193,COL0035,Pushpa Pandey,Female,Assistant Professor,BE,6,Mechanical Engineering,688000,0,1,0,2020,Permanent
FAC00194,COL0035,Dr. Shivaji Mishra,Male,Professor,PhD,23,Civil Engineering,1993000,25,3,3,2003,Permanent
FAC00195,COL0035,Dr. Kishor Kelkar,Male,HOD,PhD,23,Electronics & Telecommunication,2131000,27,3,7,2003,Permanent
FAC00196,COL0035,Shobha Shinde,Female,Assistant Professor,BE,7,Information Technology,746000,0,0,1,2019,Permanent
FAC00197,COL0035,Vivek Sharma,Male,Associate Professor,MTech,8,Computer Engineering,1148000,3,0,1,2018,Permanent
FAC00198,COL0035,Sachin Pandey,Male,Associate Professor,MTech,11,Mechanical Engineering,1156000,6,1,1,2015,Permanent
FAC00199,COL0035,Dr. Namdeo Deshmukh,Male,Professor,PhD,32,Mechanical Engineering,2084000,33,2,5,1994,Permanent
FAC00200,COL0035,Dr. Sarita Shaikh,Female,Associate Professor,PhD,12,Mechanical Engineering,1325000,14,2,4,2014,Permanent
FAC00201,COL0036,Vivek Tiwari,Male,Assistant Professor,ME,1,Economics,461000,0,0,0,2025,Permanent
FAC00202,COL0036,Dr. Anil Chavan,Male,Professor,PhD,15,Banking & Finance,1264000,7,2,4,2011,Permanent
FAC00203,COL0036,Chandrakala Shinde,Female,Assistant Professor,MTech,3,Accountancy,431000,1,0,0,2023,Permanent
FAC00204,COL0036,Sachin Sharma,Male,Associate Professor,MTech,10,Banking & Finance,785000,1,0,3,2016,Permanent
FAC00205,COL0036,Digambar Joshi,Male,Assistant Professor,ME,10,Business Administration,465000,2,1,0,2016,Permanent
FAC00206,COL0037,Vasanti Shinde,Female,Assistant Professor,MTech,5,Criminal Law,477000,1,1,1,2021,Permanent
FAC00207,COL0037,Dr. Digambar Kadam,Male,Associate Professor,PhD,8,Constitutional Law,823000,3,3,2,2018,Contractual
FAC00208,COL0038,Prof. Sushila Shinde,Female,Associate Professor,MTech,19,Marathi,816000,3,0,2,2007,Contractual
FAC00209,COL0038,Namdeo Rane,Male,Assistant Professor,ME,1,Sociology,419000,0,2,0,2025,Permanent
FAC00210,COL0038,Ravindra Chavan,Male,Assistant Professor,MTech,3,Sociology,442000,0,2,0,2023,Permanent
FAC00211,COL0038,Shobha Dixit,Female,Assistant Professor,MTech,2,Economics,434000,0,0,0,2024,Contractual
FAC00212,COL0038,Ujjwala Sawant,Female,Assistant Professor,MTech,8,History,469000,1,0,2,2018,Permanent
FAC00213,COL0039,Dr. Anand Chougule,Male,Assistant Professor,PhD,2,Chemistry,802000,3,5,1,2024,Permanent
FAC00214,COL0039,Dr. Umesh Ansari,Male,Assistant Professor,PhD,9,Mathematics,826000,3,1,2,2017,Permanent
FAC00215,COL0039,Rajendra Mishra,Male,Assistant Professor,ME,7,Mathematics,775000,1,1,1,2019,Permanent
FAC00216,COL0039,Sunita Rane,Female,Associate Professor,ME,9,English,1213000,0,0,1,2017,Contractual
FAC00217,COL0039,Yogesh Rao,Male,Assistant Professor,MTech,5,Physics,767000,1,1,2,2021,Contractual
FAC00218,COL0039,Dr. Pratibha Bhosale,Female,Associate Professor,PhD,14,Physics,1273000,5,0,5,2012,Permanent
FAC00219,COL0039,Sarita Salunkhe,Female,Assistant Professor,MTech,2,Mathematics,719000,0,0,1,2024,Permanent
FAC00220,COL0039,Shabana Gokhale,Female,Assistant Professor,BE,9,Marathi,702000,0,2,0,2017,Permanent
FAC00221,COL0039,Yogesh Sayyed,Male,Assistant Professor,ME,6,Physics,770000,1,0,0,2020,Permanent
FAC00222,COL0039,Balasaheb Naik,Male,Assistant Professor,MTech,10,Chemistry,771000,1,1,3,2016,Permanent
FAC00223,COL0040,Ganesh Kulkarni,Male,Assistant Professor,ME,4,Electrical Engineering,431000,1,2,0,2022,Contractual
FAC00224,COL0040,Dr. Rajesh Mishra,Male,Professor,PhD,23,Computer Engineering,1342000,7,1,5,2003,Permanent
FAC00225,COL0040,Dr. Kalpana Shinde,Female,Associate Professor,PhD,9,Electrical Engineering,773000,0,3,2,2017,Permanent
FAC00226,COL0040,Dr. Kavita Mishra,Female,Professor,PhD,23,Computer Engineering,1334000,5,2,5,2003,Permanent
FAC00227,COL0040,Milind Chavan,Male,Assistant Professor,ME,1,Civil Engineering,440000,0,0,1,2025,Permanent
